created_at,username,post_id,text,sentiment,clean_text
2025-06-25 16:41:55,@tech1909,3.304641305054412e+18,@SafricomPLC has the best bundels in Kenya. Thumbs up worth afford rada! ❤️,positive,has the best bundels in kenya. thumbs up worth afford rada! :red_heart:
2025-02-27 22:59:06,@nairobi5405,8.568302852780794e+18,Good service today na safaricom ❤️,positive,good service today na safaricom :red_heart:
2024-05-04 17:37:47,@customer2274,6.567506658975549e+18,"@Safricom_Care, info on Bonga Points tafadhali. 🤔",neutral,", info on bonga points tafadhali. :thinking_face:"
2024-01-19 05:41:07,@tech7597,7.813217984045509e+18,Unhappy na Bonga Points quality from Safaricom. Si poa! 👎,negative,unhappy na bonga points quality from safaricom. si poa! :thumbs_down:
2025-05-27 19:56:58,@customer5136,2.045756523078987e+18,Kuna update juu ya bei ya innovations?,neutral,kuna update juu ya bei ya innovations?
2025-11-23 14:40:37,@mombasa6451,8.559643659799016e+18,Bei ya network quality imepanda tena shida,negative,bei ya network quality imepanda tena shida
2023-06-02 01:27:52,@customer3101,3.7730236777434353e+18,"Je, coverage inafanya aje siku hizi mtandao afford pesa? 🤔",neutral,"je, coverage inafanya aje siku hizi mtandao afford pesa? :thinking_face:"
2023-06-21 18:54:52,@customer4986,6.111222710752915e+18,"@Safaricom_Care, mbona support iko slow mbaya? Fix it bana! 🙄",negative,", mbona support iko slow mbaya? fix it bana! :face_with_rolling_eyes:"
2024-03-03 02:00:28,@nairobi9821,1.7338002408759744e+18,Question about billing activation ℹ️,neutral,question about billing activation :information:
2025-02-13 22:45:59,@user7155,7.862056750500866e+18,"@SafaricomPLC, your app usability is terrible. Do better bei bei msee! 🙄",negative,", your app usability is terrible. do better bei bei msee! :face_with_rolling_eyes:"
2025-02-16 09:59:17,@kenyan2926,4.676339969561397e+18,Best network provider thanks to excellent M-Pesa poa haraka bei! 😁,positive,best network provider thanks to excellent m-pesa poa haraka bei! :beaming_face_with_smiling_eyes:
2023-04-03 04:02:38,@customer9853,1.5127639535926313e+18,Safricom innovations inatosha vizuri mtandao ghali shida 😍,positive,safricom innovations inatosha vizuri mtandao ghali shida :smiling_face_with_heart-eyes:
2023-10-24 08:23:50,@customer7733,1.6267972295664916e+18,customer service service ni pathetic. Fix your stuff Safaricom tena pesa msee! 😥,negative,customer service service ni pathetic. fix your stuff safaricom tena pesa msee! :sad_but_relieved_face:
2024-08-05 22:51:12,@customer6756,9.914585050610504e+18,Safaricom bundles ziko bei mbaya bana 💀,negative,safaricom bundles ziko bei mbaya bana :skull:
2025-11-24 05:20:25,@mombasa5248,7.255338073665507e+18,Happy na my promotions from Safaricom. 5 stars bana!,positive,happy na my promotions from safaricom. 5 stars bana!
2024-06-18 18:36:25,@customer4541,5.656110585840839e+18,I liiiike Bonga Points ya Safaricom sawa tena dem 😊,positive,i liiiike bonga points ya safaricom sawa tena dem :smiling_face_with_smiling_eyes:
2024-09-26 11:42:03,@user9623,5.109449933033946e+18,INTERNET SPEED SERVICE NI PATHETIC. FIX YOUR STUFF SAFARICOM RADA!,negative,internet speed service ni pathetic. fix your stuff safaricom rada!
2024-10-24 19:04:52,@mombasa7210,4.330296112321453e+18,Complaining juu ya poor internet speed service from Safaricom. Shida tena! 🫤,negative,complaining juu ya poor internet speed service from safaricom. shida tena! :face_with_diagonal_mouth:
2023-01-01 05:54:45,@customer5704,1.2208611086695892e+18,Can't stand the high prices for innovations 😤,negative,can't stand the high prices for innovations :face_with_steam_from_nose:
2025-03-26 13:26:54,@mombasa6252,5.430649182138165e+18,Solid coverage from Safaricom haraka msee sawa,positive,solid coverage from safaricom haraka msee sawa
2025-11-04 20:57:14,@mombasa5781,8.679297675378786e+18,Bei ya bundels ni kiasi gani?,neutral,bei ya bundels ni kiasi gani?
2025-05-25 00:37:58,@nairobi5624,3.0030655908631885e+18,Checking out innovations options na safaricom. kuna nini sana poa mtandao? 😐,neutral,checking out innovations options na safaricom. kuna nini sana poa mtandao? :neutral_face:
2023-08-09 14:30:46,@kenyan6245,1.5834791559967992e+18,Anyone using the new support feature iko afford afford?,neutral,anyone using the new support feature iko afford afford?
2025-10-03 10:49:53,@mombasa2719,3.679787059440448e+18,"Great job @Safaricom_Care, ulisolve promotions yangu simu! 😂",positive,"great job , ulisolve promotions yangu simu! :face_with_tears_of_joy:"
2023-05-04 23:47:25,@customer3590,1.403642272706068e+18,Safaricom support update: what's new bana? ℹ️,neutral,safaricom support update: what's new bana? :information:
2023-11-08 22:16:49,@customer6680,5.663142128496644e+18,SAFARICOM PROMOTIONS UPDATE: WHAT'S NEW BANA? 💭,neutral,safaricom promotions update: what's new bana? :thought_balloon:
2023-07-16 08:13:53,@kenyan5477,8.02918392429866e+18,Looking for details on innovations from Safaricom sawa tena afford.,neutral,looking for details on innovations from safaricom sawa tena afford.
2025-03-23 17:46:51,@user1238,7.59145698076222e+18,Loving the value in Bonga Points bana,positive,loving the value in bonga points bana
2024-05-27 00:00:44,@mombasa7318,6.02481083376036e+18,Best network provider thanks to excellent internet speed bana bei mbaya!,positive,best network provider thanks to excellent internet speed bana bei mbaya!
